	Nome Completo	Nome Urna	Partido
8	ANDREA CRISTINA MARTINS CHAVES DA SILVA	ANDREA	AVANTE
16	BENEDITA DE LIMA	BENE	AVANTE
22	CARLOS EDUARDO CALADO	CARLOS CALADO	AVANTE
27	EDENILSON JOSE CAVALEIRO	CAVALEIRO	AVANTE
38	CLEBER APARECIDO BARBOSA	CLEBER CALHAS	AVANTE
82	EDICARLOS SOUSA NERES	GODA DO HIP HOP	AVANTE
108	JOSE MOREIRA DOS SANTOS	JOSE MOREIRA	AVANTE
116	KEITE DIAS DE CARVALHO	KEITE MARRONE	AVANTE
120	RONALDO JOSE LANCHI	LANG PIZZAS	AVANTE
135	MARIA LUCIA MIRANDA	MALU MIRANDA	AVANTE
138	MARCO ANTONIO SOARES	MARCAO FURACAO	AVANTE
142	MARCOS DORIVAL MARTINS	MARCOS DORIVAL	AVANTE
181	PAULO SERGIO BATISTA	PAULINHO BATISTA	AVANTE
226	ROGERIO FRANCISCO INACIO	ROGERIO INACIO	AVANTE
249	LILIAN ESKARLETE ZAMBON ZAPPAROLI CALABRESE	TIA LILIAN	AVANTE
253	ANTONIO EDUARDO JESUS DOS SANTOS	TONINHO TODDY	AVANTE
