	Nome Completo	Nome Urna	Partido
1	AILTON ALVIM PEREIRA	AILTON PEREIRA	CIDADANIA
4	ALEX MAURICIO CADEI	ALEX CADEI	CIDADANIA
7	ANDERSON DEL BLANCO	ANDERSON DE OXSSO	CIDADANIA
21	CARLOS ALBERTO BOGAS	CARLOS BOGAS	CIDADANIA
29	CELIO REZENDE	CELINHO PROFESSOR	CIDADANIA
56	EDER FERNANDO DERISSI	EDINHO DERISSI	CIDADANIA
63	ERMINIA BORGES DE SOUZA	ERMINIA BAVIOLA	CIDADANIA
64	EVERSON JOSE PADILHA	EVERSON COXINHA	CIDADANIA
65	EVILASIO DI LEI FILHO	EVILASIO BILE	CIDADANIA
83	GUSTAVO RAFAEL CORNACHIONE	GUSTAVO CORNACHIONE	CIDADANIA
93	JADER PAULO FERREIRA	JADER SALGADOS	CIDADANIA
122	LILIANE MARIA DA SILVA PAES	LILI PAES	CIDADANIA
125	ELIANA DO CARMO FRANCISCO	LOCUTORA ELIANA CASANOVA	CIDADANIA
130	LUIS FERNANDO ANGELOTTI	LUIS ANGELOTTI CHINA	CIDADANIA
144	MARCOS MARCEL APARECIDO DO RIO	MARCOS TCHULA	CIDADANIA
145	MARIA JESUS MARTINS	MARIA MANICURE	CIDADANIA
148	MARILDA APARECIDA ALVES	MARILDA PLANTAS	CIDADANIA
158	ROSIMEIRE DE SOUZA REZENDE DIAS	MEIRE DIAS	CIDADANIA
162	VALDEMIR DONIZETE NATAL TASSI	MIL_TASSI	CIDADANIA
164	FRANCISCO ROSA CAMELO	MINEIRO GARAPEIRO	CIDADANIA
169	EDINEIA ALVES DOS SANTOS	NEIA	CIDADANIA
182	PAULO ROQUE DA SILVA JUNIOR	PAULINHO CDHU	CIDADANIA
193	PEDRO PEREIRA LOPES MEIRELLES PADILHA	PEDRO PEREIRA LOPES	CIDADANIA
200	NEUSA VALENTINA GOLINELI	PROFESSORA NEUSA	CIDADANIA
201	AZUAITE MARTINS DE FRANCA	PROFESSOR AZUAITE	CIDADANIA
204	SILVIO JOSE PADOVAN	PROFESSOR SILVIO	CIDADANIA
217	ROBELSON MOREIRA LULA	ROBELSON MOREIRA	CIDADANIA
231	ROSELI APARECIDA FIGUEIREDO	ROSELI DA UPA	CIDADANIA
237	SILVANA SIMONE ROBERTI	SILVANA ROBERTI	CIDADANIA
245	THIAGO DE JESUS BRAGA QUIRINO DOS SANTOS	THIAGO DE JESUS	CIDADANIA
246	THIAGO LUIZ LOPES MALDONADO	THIAGO DO LUIZ MOTOS	CIDADANIA
250	PRISCILA DO SOCORRO VALIM SIGOLI	TIA PRI DA VAN	CIDADANIA
