	Nome Completo	Nome Urna	Partido
24	CARLOS ALEXANDRE FABRICIO	CARLOS DRAKO	PATRIOTA
58	EDSON FARIAS DE MELO	EDSON GORDINHO	PATRIOTA
66	FABIANA PEREIRA DA ROCHA	FABIANA ROCHA	PATRIOTA
67	FABIO ROGERIO FORMENTON	FABIO INHÔ	PATRIOTA
94	JANINE CAMILE FERREIRA BARRA	JANINE BARRA	PATRIOTA
104	JOICE ALVES DAS FLORES	JOICE ALVES	PATRIOTA
131	LUIS FERNANDO LAZARINI	LUIS LAZARINI	PATRIOTA
133	MAIKON WILLIAM ALVES	MAIKON ALVES	PATRIOTA
160	MELISSA LIMA DO AMARAL	MELISSA GUERREIRO	PATRIOTA
176	OZIEL ROBERTO CAVALCANTE DE ALBUQUERQUE	OZIEL BOMBEIRO	PATRIOTA
197	PLINIO ROLAND CALCHI	PLINIO CALCHI	PATRIOTA
256	VALDSON DA MOTA SILVA	VALDSON MOTA	PATRIOTA
261	WESLEN FLORIANO PAULO	WESLEN PAULO	PATRIOTA
