	Nome Completo	Nome Urna	Partido
14	ARMANDO BERTINI JUNIOR	ARMANDO BERTINI	PDT
23	ANTONIO CARLOS DALLACQUA	CARLOS DALLACQUA	PDT
41	CRISTIANO SANTOS NASCIMENTO	CRISTIANO SANTOS	PDT
43	DANIEL ALVES	DANIEL ALVES	PDT
46	EDGAR ROGERIO MEASSI	DEGA	PDT
49	DIMITRI SEAN RIBEIRO CARNEIRO	DIMITRI	PDT
50	BENEDITA DA CONCEIÇÃO SILVA ZAMBON	DITINHA ZAMBON	PDT
60	EDUARDO RIBEIRO NETO	EDUARDO RIBEIRO	PDT
62	CLAUDETE RAIMUNDO DA SILVA	ENFERMEIRA CLAUDETE	PDT
85	HELIA SANTOS	HELIA SANTOS	PDT
86	HELIO MOURA CAETANO	HÉLIO MOURA	PDT
87	ISABEL APARECIDA CORDEIRO BRESSANE	ISABEL CORDEIRO	PDT
89	IVANI INDALECIO RABELO	IVANI RABELO	PDT
90	IVAN LUCAS GONCALVES	IVAN LUCAS JORNALISTA	PDT
97	JEREMIAS PACHE DA HORA	JEREMIAS PACHE	PDT
98	JESSICA DA LUZ	JESSICA LUZ	PDT
101	JOAO ROBERTO DE SOUZA	JOÃO PIRILAMPO	PDT
109	JUCEMARA AGUIAR SOUSA	JUCEMARA AGUIAR	PDT
129	LUCINDO GONÇALVES DA SILVA	LUCIO DA SILVA	PDT
156	JOSE MAURO FRANCA	MAURINHO FRANÇA	PDT
163	MILTON BALDAN	MILTON BALDAN	PDT
170	VALDINEI ANTONIO NICOMEDES	NEI NICOMEDES	PDT
183	PAULO FRANCISCO DA SILVA	PAULINHO SILVA	PDT
192	PEDRO SEBASTIAO DE MORAES	PEDRO MORAES	PDT
194	PEDRO PIRES SANTOS	PEDRO PIRES	PDT
199	CATIA SIRENI APARECIA ZACARIA BUENO DE OLIVEIRA	PROFESSORA CATIA BUENO	PDT
203	PAOLINO ROBERTO ROSI	PROFESSOR PAOLINO	PDT
213	RENATO MENDES DE OLIVEIRA	RENATO MENDES	PDT
219	ROBSON ROBERTO CIPRIANO	ROBSON CIPRIANO	PDT
247	CRISTINA RODRIGUES DA SILVA JORGE	TIA CRIS	PDT
255	DIRCE RODRIGUES GOMES	TYAZINHA BRASIL	PDT
265	JOSE JOAO DOS SANTOS	ZÉ DO BIGODE DO VARJÃO	PDT
