	Nome Completo	Nome Urna	Partido
6	AMADEU ETRURI JUNIOR	AMADEU	PL
9	ANDREA DE MATOS MAZO	ANDREA MAZO	PL
11	ANGELA MARIA TOCCINI AMATTO	ANGELA AMATTO	PL
18	BRUNO RAFAEL MARQUES ZANCHETA	BRUNO ZANCHETA	PL
20	CARLOS ALBERTO TALARICO	CARLINHOS TALARICO	PL
28	CÉLIA MARIA BORGES DE SOUZA	CÉLIA BORGES	PL
30	CELSO LUIZ PEDRO	CELSÃO	PL
70	FATIMA DONIZETI TIBURCIO	FATIMA TIBURCIO	PL
73	FÉLIX RODOLFO RODRIGUES	FÉLIX RODRIGUES	PL
78	GERALDO SANTANA VELLOSO	GERALDO VELLOSO	PL
84	GUSTAVO CAETANO POZZI DA CUNHA	GUSTAVO POZZI	PL
88	ISABEL CRISTINA CUSTODIO	ISABEL CUSTODIO	PL
91	IVONE DE FATIMA MANENTE ZANQUIM	IVONE ZANQUIM	PL
107	JOSÉ DIMAS JUNIOR	JOSÉ DIMAS	PL
112	JULIO CESAR GHIDINI	JULIÃO	PL
121	EDILEUZA REGINA BRAGA	LEUZA BRAGA HEMODIÃLISE	PL
140	MARCIO MIGUEL PASQUALI	MARCINHO	PL
141	MARCIO ROGERIO GARCIA NEVES	MARCIO NEVES	PL
153	MARCOS ANTONIO DE THOMAZO	MARQUINHO CHIREIA	PL
167	NATAN HENRIQUE CARBONI	NATAN CARBONI	PL
174	OLiVIO APARECIDO RODRIGUES DA CUNHA	OLIVIO MOTOBOY	PL
185	PAULO BARBOSA DA SILVA	PAULLUS LANCHES	PL
188	PAULO FERNANDO TAU	PAULO ITAÚ	PL
206	JOSÉ VANDERLEI RODRIGUES MARTINS	PROFESSOR VANDÃO	PL
208	RAFAEL CARLOS DOS SANTOS	RAFAEL SANTOS	PL
214	RENATO CARLOS TASSI	RENATO TASSI	PL
215	RICARDO DEANGELO	RICARDO DEANGELO	PL
243	THAIS BERTOLOTE DE OLIVEIRA	THAIS BERTOLOTE	PL
262	WILSON LUIS TOZO	WILSON TOZO	PL
263	WIVIANE MARIA SPAZIANI TIBERTI	WIVIANE TIBERTI	PL
