	Nome Completo	Nome Urna	Partido
3	CARLOS ROBERTO BEDINOTTO	ALEMAO	PP
25	CARLOS HENRIQUE GARCIA	CARLOS HENRIQUE	PP
26	CARLOS ALBERTO DE PAULA FRANCO	CARLOS JARDINEIRO	PP
33	MARIA APARECIDA RODRIGUES DOS SANTOS	CIDINHA DO ONCOLOGICO	PP
40	CRISTIANO DE OLIVEIRA	CRISTIANO KRYSBONE	PP
57	EDMUR ROIZ	EDMUR ROIZ	PP
68	FATIMA CRISTINA MARCHETTI	FA MARCHETTI	PP
74	FRANCIANE ROMAGNOLI	FRANCIANE SALGADOS	PP
81	GISELE AMATO MASSON	GISELE MASSON	PP
95	JULIO CESAR SARRO DE CASTRO	JC	PP
127	LUCIANO APARECIDO DA SILVEIRA	LUCIANO NENE	PP
128	LUCIANO ARLINDO CALDEIRA RODRIGUES	LUCIANO PORTUGAS	PP
136	MARCAL CORREA RIBEIRO	MARÇAL	PP
143	MARCOS ALBERTO DOS SANTOS	MARCOS ROUDINI	PP
147	MARIA PASCOALINA SABBATINO	MARIA PASCOALINA	PP
149	MARILIA MASSEI PORTO	MARILIA MASSEI PORTO	PP
161	PAULO HENRIQUE EVANGELISTA	MEU NOME E PAULO	PP
166	EDSON ROBERTO DE PAULA	NANAO DE PAULA	PP
177	VIVIANE ANTONIO PACHECO ALBANO	PASTORA VIVIANE PACHECO	PP
179	PATRICIA PEREZ DIAS FORMIGONI	PATRICIA FORMIGONI	PP
180	PATROCINIO RAMOS DA CRUZ NETO	PATROCINIO RAMOS CAUSA NINAL	PP
184	PAULO SERGIO ZAMBON	PAULINHO ZAMBON	PP
187	PAULO CESAR DE MORAES	PAULO CESAR BUIU	PP
196	PETERSON JOSE BERNARDO	PETERSON	PP
207	RAFAEL EDUARDO MARINO	RAFAEL MARINO	PP
228	RONIVON FERREIRA DA SILVA	RONI SILVA	PP
235	AMERICO DOS SANTOS	SEU AMERICO	PP
236	SHIRLEY DA SILVA BARBOSA	SHIRLEY BARBOSA	PP
241	TADEU SOARES GUATURA	TADEU GUATURA	PP
242	NIZETE CRISTIANE APARECIDA DOS SANTOS DA SILVA	TEKA SILVA	PP
248	TIAGO ORLANDI PARELLI	TIAGO PARELLI	PP
254	ANTONIO CARLOS DA SILVA	TUCURA	PP
