	Nome Completo	Nome Urna	Partido
0	JOSÉ ADEILTON DA SILVA	ADEILTON SILVA	PSDB
5	ALAN MAURICIO ALVES DE CASTRO	ALLAN SOM	PSDB
13	ARETHA CRISTINA CONTIN DOS SANTOS	ARETA CONTIN	PSDB
36	CLAUDIA CURY FRAGALLE	CLAUDIA CURY	PSDB
37	CLAUDIA SOLANGE DA SILVA	CLAUDIA SILVA	PSDB
39	CLÉBER LUIZ FERNANDES VIEIRA	CLÉBER VIEIRA	PSDB
51	DORA SOARES DE OLIVEIRA	DORA PROTETORA DE ANIMAIS	PSDB
59	EDUARDO MARTINS BATISTA	EDUARDO BRINQUEDOS	PSDB
71	FELIPE HERMINIO FAUSTO	FELIPE FAUSTO	PSDB
72	FELIPE OTAVIO MARTINS	FELIPE MARTINS	PSDB
80	GIOVANI ASTOLPHO	GIOVANI ASTOLPHO	PSDB
103	JOÃO CARLOS TEIXEIRA	JOÃOZINHO CORREDOR	PSDB
105	JONATAN RICARDO CATAI	JONATAN CATAI	PSDB
106	JORGE NILSON ROSALINO	JORGE ROSALINO	PSDB
114	KAROL CRISTINA MENDONÃ‡A PEDRO	KAROL PEDRO	PSDB
117	KILZA KELLY SANTOS	KILZA KELLY	PSDB
118	LAIDE DAS GRAÇAS SIMOES	LAIDE DA UIPA	PSDB
139	MARCELO DONIZETE MORENO	MARCELO MORENO	PSDB
152	MARCO ANTÔNIO AMARAL	MARQUINHO AMARAL	PSDB
159	MÉLANY RAPHAELLI MARCHETTI CORDEIRO	MÉLANI MARCHETTI	PSDB
171	NELSON PEREIRA RAMOS	NELSINHO PEREIRA	PSDB
186	PAULO ROBERTO CAETANO	PAULO CAETANO	PSDB
211	REGINALDO JOSÉ DA SILVA	REGINALDO PELÉ	PSDB
212	REINALDO ROSALINO ROSSI	REINALDO ROSSI	PSDB
220	RODOLFO HERNANE OMETTO	RODOLFO HERNANE	PSDB
221	RODRIGO LOPES DE SOUZA	RODRIGO BOMBEIRO	PSDB
223	RODRIGO FONTANA	RODRIGO FONTANA	PSDB
224	RODSON MAGNO DO CARMO	RODSON	PSDB
230	ROSANA MACIEL	ROSANA MACIEL	PSDB
260	VERA LÃšCIA CIARLO RAYMUNDO	VERA RAYMUNDO	PSDB
