	Nome Completo	Nome Urna	Partido
10	ANDREIA OLIVEIRA DE SOUZA SANTOS	ANDREIA OLIVEIRA	PT
12	ANSELMO DE ASSIS FORTES	ANSELMO FORTES	PT
17	ZIEDE BAIAO BORGES	BORGES DO PAULISTANO	PT
32	APARECIDO DIAS EVANGELISTA	CIDÃO	PT
34	MARIA APARECIDA NOGUEIRA	CIDINHA NOGUEIRA	PT
35	CLAUDENILSON CESAR ANTONIO	CLAU	PT
55	EDILSON DE OLIVEIRA LIMA	EDILSON LIMA	PT
69	FATIMA APARECIDA MARIN DA PENHA	FÃTIMA BORRACHEIRA	PT
115	ADRIANO RODRIGUES DE MOURA	KEBEC	PT
119	LANDERSON APARECIDO BATISTA	LANDERSON BATATA	PT
123	LUIZ ANTONIO NAVARRO MAGALHAES LUZ	LINEU NAVARRO	PT
157	MAYKE MARCOLINO	MAYKE MARCOLINO	PT
189	PAULO JOSÉ PENALVA MANCINI	PAULO MANCINI EM MUTIRÃO	PT
205	VALTER CARNEIRO DA SILVA JUNIOR	PROFESSOR VALTER	PT
209	RAQUEL AUXILIADORA DOS SANTOS	RAQUEL AUXILIADORA	PT
222	ALEXANDRO RODRIGO ECHEVERRIA	RODRIGO ECHEVERRIA	PT
225	ROGERIO PEREIRA	ROGERINHO	PT
238	SILVIA HELENA GASPARINO	SILVIA GASPARINO	PT
267	ZILDINHA APARECIDA CAMARGO	ZILDINHA CAMARGO	PT
