	Nome Completo	Nome Urna	Partido
15	MARIA ISABEL GAGLIARDI AZORLI	BEL GAGLIARDI	PTB
42	DAIANE ROSSI	DAIA ROSSI	PTB
44	DANIELI FERNANDA FAVORETTO VALENTI	DANI FAVORETTO	PTB
48	VANDERLEI CRIADO DE JESUS	DELEN	PTB
53	TOSHIO UETANABARO	DR TOSHIO	PTB
54	DULCELENE APARECIDA EZEQUIEL GONCALVES QUERSI	DULCE GONCALVES	PTB
92	IZILDINHA APARECIDA MONTANHEIRO	IZILDINHA DA PROHAB	PTB
99	JOAO BATISTA DA SILVA	JOAO DO DEPOSITO ARACI II	PTB
102	JOAO VITOR FERREIRA ROSA JUNIOR	JOAO VITOR ROSA	PTB
110	JULIA SUEKO IRIYAMA	JULIA IRIYANA	PTB
111	JULIANO ALVES RODRIGUES	JULIANO DO ESPETINHO	PTB
113	RICARDO FEHR CAMARGO	KAKA FEHR	PTB
134	ALEKSANDER FERNANDES VIEIRA	MALABIM	PTB
137	ANTONIO MARCOS DE OLIVEIRA	MARCAO DO POVO	PTB
151	MARLENE FERREIRA	MARLENE FERREIRA	PTB
154	MATHEUS AUGUSTO DE OLIVEIRA	MATHEUS OLIVEIRA	PTB
165	RUTE MARIA DE OLIVEIRA ALVES	MISSIONARIA RUTINHA	PTB
168	ANA ALICE GULLO MONTEIRO NEO	NECA GULLO	PTB
173	NIVALDO JESUS DA COSTA	NIVALDO MUDANCAS	PTB
190	PAULO JOSE SANTOS SCALLI	PAULO SCALLI	PTB
195	EDSON LUIS PEPATO	PEPATO	PTB
202	FABIO FELIPE	PROFESSOR FABIO JAMAICA	PTB
216	RICARDO RIOS DE OLIVEIRA	RICARDO RIOS	PTB
232	JOSE RUBENS ZANCHETA	RUBAO ZANCHETA	PTB
234	SERGIO ALVES ROCHA	SERGIO ROCHA	PTB
244	THIAGO OLIVEIRA DE ANDRADE	THIAGO ANDRADE	PTB
251	EMERSON LUIS VERGARA PAULO	TIO EMERSON	PTB
252	MARCO ANTONIO NUNES DA SILVA	TIO MARCO	PTB
257	LUIS VALENTIM DA SILVA	VALENTIM	PTB
258	VALDEMIR PEREIRA GOMES	VAL GERENTE	PTB
259	VALMIR FERREIRA DE LIMA	VALMIR LIMA	PTB
266	ZILDA CAPORASSO	ZILDA CAPORASSO	PTB
