	Nome Completo	Nome Urna	Partido
2	ANDERSON AKIRA DE SOUZA SHIBA	AKIRA	SOLIDARIEDADE
19	EMERSON BERNARDES DA SILVEIRA	CARECA DO CHOPP	SOLIDARIEDADE
31	CICERO DE SOUZA MENDES	CICERO TICA	SOLIDARIEDADE
45	JOSE ALVIM FILHO	DÉ ALVIM	SOLIDARIEDADE
47	DEISE CRISTINA DA SILVA ROTTA TEIXEIRA	DEISE DO ASSENTAMENTO	SOLIDARIEDADE
52	DOUGLAS GUSTAVO QUINTERNI	DOUGLAS DA DUBAI	SOLIDARIEDADE
61	IRENILDA FIGUEIREDO DOS SANTOS PISCIONERI	EIRE PISCIONERI	SOLIDARIEDADE
75	FRANK SANTOS APARECIDO LEVI	FRANK LEVI	SOLIDARIEDADE
76	EQUIMARCILIAS DE SOUZA FREIRE	FREIRE	SOLIDARIEDADE
77	GENERALDO SOARES DE SOUZA	GENERALDO SOARES	SOLIDARIEDADE
79	GILMAR MARQUES DE SOUZA	GILMAR MARQUES	SOLIDARIEDADE
96	PEDRO BARBOSA	JEAN CARLOS	SOLIDARIEDADE
100	JOAO FIGUEREDO MASCARENHAS	JOÃO FIGUEREDO	SOLIDARIEDADE
124	LOANDA DE JESUS MATADO	LOANDA MATADO	SOLIDARIEDADE
126	LUCIANE AKEMI SATO	LUCIANE SATO	SOLIDARIEDADE
132	MARIA LUCELIA MAGRI	LÚ MAGRI	SOLIDARIEDADE
146	MARIANGELA APARECIDA REGATIERI ALVES	MARIANGELA REGATIERI	SOLIDARIEDADE
150	MARISTELA DE CASTRO ALBUQUERQUE OLIVEIRA	MARISTELA ALBUQUERQUE	SOLIDARIEDADE
155	JOSE MAURICIO ORTEGA	MAURICIO ORTEGA	SOLIDARIEDADE
172	NELSON FRANCISCO TEMPLE BERGONSO	NELSON BERGONSO	SOLIDARIEDADE
175	ORAIDE APARECIDA FELICIO	ORAIDE FELICIO	SOLIDARIEDADE
178	DANIEL ARLINDO PIRES	PASTOR DANIEL PIRES	SOLIDARIEDADE
191	PEDRO MAXIMO DINIZ	PEDRO DINIZ	SOLIDARIEDADE
198	ANA PAULA VAZ DE OLIVEIRA DOS SANTOS	PROFESSORA ANA PAULA VAZ	SOLIDARIEDADE
210	RAULF RICARDO ALBANO	RAULF RICARDO	SOLIDARIEDADE
218	ROBERTO CARDOSO VIEIRA	ROBERT CABELEIREIRO	SOLIDARIEDADE
227	RONALDO DE SOUSA	RONALDO DE SOUSA	SOLIDARIEDADE
229	ROOSEVELT SOARES DE PAULA	ROOSEVELT	SOLIDARIEDADE
233	SAMUEL MARTINS TRINDADE	SAMUCA DO ONIBUS	SOLIDARIEDADE
239	JOSE ILTON AZEVEDO DE OLIVEIRA	SUSSA TA TENO	SOLIDARIEDADE
240	SUZI SIMÕES DE MELLO	SUZI	SOLIDARIEDADE
264	EDMILSON AURELIANO DA SILVA	ZE BONITINHO	SOLIDARIEDADE
