Nome Completo,Nome Urna,Partido
JOSÉ ADEILTON DA SILVA,ADEILTON SILVA,PSDB
AILTON ALVIM PEREIRA,AILTON PEREIRA,CIDADANIA
ANDERSON AKIRA DE SOUZA SHIBA,AKIRA,SOLIDARIEDADE
CARLOS ROBERTO BEDINOTTO,ALEMAO,PP
ALEX MAURICIO CADEI,ALEX CADEI,CIDADANIA
ALAN MAURICIO ALVES DE CASTRO,ALLAN SOM,PSDB
AMADEU ETRURI JUNIOR,AMADEU,PL
ANDERSON DEL BLANCO,ANDERSON DE OXSSO,CIDADANIA
ANDREA CRISTINA MARTINS CHAVES DA SILVA,ANDREA,AVANTE
ANDREA DE MATOS MAZO,ANDREA MAZO,PL
ANDREIA OLIVEIRA DE SOUZA SANTOS,ANDREIA OLIVEIRA,PT
ANGELA MARIA TOCCINI AMATTO,ANGELA AMATTO,PL
ANSELMO DE ASSIS FORTES,ANSELMO FORTES,PT
ARETHA CRISTINA CONTIN DOS SANTOS,ARETA CONTIN,PSDB
ARMANDO BERTINI JUNIOR,ARMANDO BERTINI,PDT
MARIA ISABEL GAGLIARDI AZORLI,BEL GAGLIARDI,PTB
BENEDITA DE LIMA,BENE,AVANTE
ZIEDE BAIAO BORGES,BORGES DO PAULISTANO,PT
BRUNO RAFAEL MARQUES ZANCHETA,BRUNO ZANCHETA,PL
EMERSON BERNARDES DA SILVEIRA,CARECA DO CHOPP,SOLIDARIEDADE
CARLOS ALBERTO TALARICO,CARLINHOS TALARICO,PL
CARLOS ALBERTO BOGAS,CARLOS BOGAS,CIDADANIA
CARLOS EDUARDO CALADO,CARLOS CALADO,AVANTE
ANTONIO CARLOS DALLACQUA,CARLOS DALLACQUA,PDT
CARLOS ALEXANDRE FABRICIO,CARLOS DRAKO,PATRIOTA
CARLOS HENRIQUE GARCIA,CARLOS HENRIQUE,PP
CARLOS ALBERTO DE PAULA FRANCO,CARLOS JARDINEIRO,PP
EDENILSON JOSE CAVALEIRO,CAVALEIRO,AVANTE
CÉLIA MARIA BORGES DE SOUZA,CÉLIA BORGES,PL
CELIO REZENDE,CELINHO PROFESSOR,CIDADANIA
CELSO LUIZ PEDRO,CELSÃO,PL
CICERO DE SOUZA MENDES,CICERO TICA,SOLIDARIEDADE
APARECIDO DIAS EVANGELISTA,CIDÃO,PT
MARIA APARECIDA RODRIGUES DOS SANTOS,CIDINHA DO ONCOLOGICO,PP
MARIA APARECIDA NOGUEIRA,CIDINHA NOGUEIRA,PT
CLAUDENILSON CESAR ANTONIO,CLAU,PT
CLAUDIA CURY FRAGALLE,CLAUDIA CURY,PSDB
CLAUDIA SOLANGE DA SILVA,CLAUDIA SILVA,PSDB
CLEBER APARECIDO BARBOSA,CLEBER CALHAS,AVANTE
CLÉBER LUIZ FERNANDES VIEIRA,CLÉBER VIEIRA,PSDB
CRISTIANO DE OLIVEIRA,CRISTIANO KRYSBONE,PP
CRISTIANO SANTOS NASCIMENTO,CRISTIANO SANTOS,PDT
DAIANE ROSSI,DAIA ROSSI,PTB
DANIEL ALVES,DANIEL ALVES,PDT
DANIELI FERNANDA FAVORETTO VALENTI,DANI FAVORETTO,PTB
JOSE ALVIM FILHO,DÉ ALVIM,SOLIDARIEDADE
EDGAR ROGERIO MEASSI,DEGA,PDT
